Country,DevType,YearsCodePro,Salary,Count
United Kingdom,"Developer, full-stack",7-10,161619.66666666666,105
United States,Academic researcher,0-2,237166.83333333334,120
United States,Academic researcher,10-15,271859.8939393939,66
United States,Academic researcher,15-20,315992.350877193,57
United States,Academic researcher,2-5,181479.9648241206,199
United States,Academic researcher,20+,255254.796875,64
United States,Academic researcher,5-7,239784.40506329114,79
United States,Academic researcher,7-10,190726.34653465348,101
United States,Data or business analyst,0-2,218230.4845814978,227
United States,Data or business analyst,10-15,247751.03496503495,143
United States,Data or business analyst,15-20,269115.77777777775,108
United States,Data or business analyst,2-5,265155.8020833333,288
United States,Data or business analyst,20+,264032.95238095237,147
United States,Data or business analyst,5-7,336155.1775700935,107
United States,Data or business analyst,7-10,255324.22794117648,136
United States,Data scientist & ML,0-2,292049.275862069,116
United States,Data scientist & ML,10-15,309879.31944444444,72
United States,Data scientist & ML,15-20,250675.1219512195,41
United States,Data scientist & ML,2-5,281157.3988439306,173
United States,Data scientist & ML,20+,318417.5238095238,63
United States,Data scientist & ML,5-7,277333.25,68
United States,Data scientist & ML,7-10,289453.66315789474,95
United States,Database administrator,0-2,244940.4296875,128
United States,Database administrator,10-15,211863.0642201835,218
United States,Database administrator,15-20,206340.34027777778,144
United States,Database administrator,2-5,265832.4882629108,213
United States,Database administrator,20+,274473.90506329114,158
United States,Database administrator,5-7,284581.27906976745,129
United States,Database administrator,7-10,275321.7256097561,164
United States,DevOps specialist,0-2,140631.57894736843,19
United States,DevOps specialist,10-15,139978.41666666666,12
United States,DevOps specialist,15-20,230349.33333333334,12
United States,DevOps specialist,2-5,208030.0,48
United States,DevOps specialist,20+,333141.6666666667,12
United States,DevOps specialist,5-7,565312.5,8
United States,DevOps specialist,7-10,280470.5882352941,17
United States,"Developer, back-end",0-2,244149.74512534818,718
United States,"Developer, back-end",10-15,255516.62174578867,653
United States,"Developer, back-end",15-20,257596.527593819,453
United States,"Developer, back-end",2-5,247002.53225806452,1178
United States,"Developer, back-end",20+,219786.83405172414,464
United States,"Developer, back-end",5-7,231946.88484848486,495
United States,"Developer, back-end",7-10,276766.7122186495,622
United States,"Developer, front-end",0-2,214677.93127147766,291
United States,"Developer, front-end",10-15,182919.03846153847,104
United States,"Developer, front-end",15-20,248369.30952380953,42
